Class,Subject,Chapter,Title,Resource Types,DIKSHA,YouTube,NCERT,GeoGebra,PhET
7,Hindi,106,गिरधर कविराय की कुंडलियाँ,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+Hindi+%E0%A4%97%E0%A4%BF%E0%A4%B0%E0%A4%A7%E0%A4%B0+%E0%A4%95%E0%A4%B5%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%AF+%E0%A4%95%E0%A5%80+%E0%A4%95%E0%A5%81%E0%A4%82%E0%A4%A1%E0%A4%B2%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%81,https://www.youtube.com/results?search_query=Class+7+Hindi+%E0%A4%97%E0%A4%BF%E0%A4%B0%E0%A4%A7%E0%A4%B0+%E0%A4%95%E0%A4%B5%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%AF+%E0%A4%95%E0%A5%80+%E0%A4%95%E0%A5%81%E0%A4%82%E0%A4%A1%E0%A4%B2%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%81+explanation,https://ncert.nic.in/textbook.php,,
7,Hindi,107,वर्षा-बहार,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+Hindi+%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%B7%E0%A4%BE-%E0%A4%AC%E0%A4%B9%E0%A4%BE%E0%A4%B0,https://www.youtube.com/results?search_query=Class+7+Hindi+%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%B7%E0%A4%BE-%E0%A4%AC%E0%A4%B9%E0%A4%BE%E0%A4%B0+explanation,https://ncert.nic.in/textbook.php,,
7,Hindi,108,बिरजू महाराज से साक्षात्कार,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+Hindi+%E0%A4%AC%E0%A4%BF%E0%A4%B0%E0%A4%9C%E0%A5%82+%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%B0%E0%A4%BE%E0%A4%9C+%E0%A4%B8%E0%A5%87+%E0%A4%B8%E0%A4%BE%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%95%E0%A4%BE%E0%A4%B0,https://www.youtube.com/results?search_query=Class+7+Hindi+%E0%A4%AC%E0%A4%BF%E0%A4%B0%E0%A4%9C%E0%A5%82+%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%B0%E0%A4%BE%E0%A4%9C+%E0%A4%B8%E0%A5%87+%E0%A4%B8%E0%A4%BE%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%95%E0%A4%BE%E0%A4%B0+explanation,https://ncert.nic.in/textbook.php,,
7,Hindi,109,चिड़िया,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+Hindi+%E0%A4%9A%E0%A4%BF%E0%A4%A1%E0%A4%BC%E0%A4%BF%E0%A4%AF%E0%A4%BE,https://www.youtube.com/results?search_query=Class+7+Hindi+%E0%A4%9A%E0%A4%BF%E0%A4%A1%E0%A4%BC%E0%A4%BF%E0%A4%AF%E0%A4%BE+explanation,https://ncert.nic.in/textbook.php,,
7,Hindi,110,मीरा के पद,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+Hindi+%E0%A4%AE%E0%A5%80%E0%A4%B0%E0%A4%BE+%E0%A4%95%E0%A5%87+%E0%A4%AA%E0%A4%A6,https://www.youtube.com/results?search_query=Class+7+Hindi+%E0%A4%AE%E0%A5%80%E0%A4%B0%E0%A4%BE+%E0%A4%95%E0%A5%87+%E0%A4%AA%E0%A4%A6+explanation,https://ncert.nic.in/textbook.php,,
7,Mathematics,101,Large Numbers Around Us,video; image; document/reading; quiz; worksheet; audio/read-aloud; interactive-math; worked-example-animation,https://diksha.gov.in/search?query=NCERT+Class+7+Mathematics+Large+Numbers+Around+Us,https://www.youtube.com/results?search_query=Class+7+Mathematics+Large+Numbers+Around+Us+explanation,https://ncert.nic.in/textbook.php,https://www.geogebra.org/search/Large+Numbers+Around+Us,
7,Mathematics,102,Arithmetic Expressions,video; image; document/reading; quiz; worksheet; audio/read-aloud; interactive-math; worked-example-animation,https://diksha.gov.in/search?query=NCERT+Class+7+Mathematics+Arithmetic+Expressions,https://www.youtube.com/results?search_query=Class+7+Mathematics+Arithmetic+Expressions+explanation,https://ncert.nic.in/textbook.php,https://www.geogebra.org/search/Arithmetic+Expressions,
7,Mathematics,103,A Peek Beyond the Point,video; image; document/reading; quiz; worksheet; audio/read-aloud; interactive-math; worked-example-animation,https://diksha.gov.in/search?query=NCERT+Class+7+Mathematics+A+Peek+Beyond+the+Point,https://www.youtube.com/results?search_query=Class+7+Mathematics+A+Peek+Beyond+the+Point+explanation,https://ncert.nic.in/textbook.php,https://www.geogebra.org/search/A+Peek+Beyond+the+Point,
7,Mathematics,104,Expressions Using Letter-Numbers,video; image; document/reading; quiz; worksheet; audio/read-aloud; interactive-math; worked-example-animation,https://diksha.gov.in/search?query=NCERT+Class+7+Mathematics+Expressions+Using+Letter-Numbers,https://www.youtube.com/results?search_query=Class+7+Mathematics+Expressions+Using+Letter-Numbers+explanation,https://ncert.nic.in/textbook.php,https://www.geogebra.org/search/Expressions+Using+Letter-Numbers,
7,Mathematics,105,Parallel and Intersecting Lines,video; image; document/reading; quiz; worksheet; audio/read-aloud; interactive-math; worked-example-animation,https://diksha.gov.in/search?query=NCERT+Class+7+Mathematics+Parallel+and+Intersecting+Lines,https://www.youtube.com/results?search_query=Class+7+Mathematics+Parallel+and+Intersecting+Lines+explanation,https://ncert.nic.in/textbook.php,https://www.geogebra.org/search/Parallel+and+Intersecting+Lines,
